name,latitude,longitude
HARBOURFRONT CENTRE,1.26206336410344,103.818732564507
NORTHPOINT CITY,1.42822560922688,103.836419992398
SUNTEC CITY MALL,1.29350132535558,103.857307495824
CATHAY CINELEISURE ORCHARD,1.30146393496315,103.836463810773
HEARTLAND MALL,1.35954177325561,103.885167372726
100 AM,1.27468281482263,103.843488359469
YEW TEE SQUARE,1.39804736098268,103.74708477866
SUNSHINE PLACE,1.37789727709418,103.739015486021
YEW TEE POINT,1.39705741516141,103.746662121143
THE CATHAY,1.29920609145429,103.847826817241
SIM LIM SQUARE,1.3030242605718,103.853037814067
CHANGI CITY POINT,1.3343251596936,103.962389299537
313@SOMERSET,1.30138510214714,103.837684350436
JUNCTION 10,1.38018163022688,103.76041930548
ION ORCHARD,1.30397974144505,103.832032328465
CITY SQUARE MALL,1.31138865009152,103.856626209616
THE RAIL MALL,1.35773050150178,103.768137724847
EASTPOINT MALL,1.34270592355576,103.953024618234
MARINA BAY LINK MALL,1.28003113385646,103.854284863268
MARINA SQUARE,1.29098635666276,103.857489825456
888 PLAZA,1.43711856085535,103.795316064775
BUGIS+,1.30095171530648,103.855172625542
COMPASS ONE,1.3920543053799,103.895063884132
GEK POH SHOPPING CENTRE,1.3487416466288,103.697739629738
TIONG BAHRU PLAZA,1.28644021678218,103.827450721571
ESPLANADE MALL,1.29036586550079,103.8547977273
SINGPOST CENTRE,1.31899666903663,103.894894915962
PARKWAY PARADE,1.30115259939855,103.905281816778
MYVILLAGE @ SERANGOON,1.36511490572797,103.865159501442
DJITSUN MALL BEDOK,1.32611970329469,103.929554495615
LUCKY PLAZA,1.3044637897474,103.834005158524
TAMPINES MART,1.35416260847105,103.960054350907
THE PARAGON,1.30387230879994,103.835857545469
THE WOODLEIGH MALL,1.33873066388191,103.871670008192
TAMPINES MALL,1.35267232210231,103.944387981063
DAWSON PLACE,1.29270339827689,103.810958956739
PLQ MALL,1.31756115921,103.892836694432
WOODLANDS NORTH PLAZA,1.44285222154947,103.790913269769
CLAYMORE CONNECT,1.30766860940267,103.828164396352
